Name ,Team,Age,Market Value(EURO),10,11,12,13,14,average
Nathaniel Phillips,LIV,25,"6,000,000",0,0,0,6.77,6.02,6.395
Trent Alexander Arnold,LIV,24,"70,000,000",7.08,6.7,7.28,6.42,7.24,6.944
Luke Chambers,LIV,18,0,0,0,0,0,0,0
Fabinho,LIV,29,"55,000,000",6.01,5.97,6.8,7.03,6.76,6.514
Thiago,LIV,31,"18,000,000",7.21,7.07,7.67,7.27,6.72,7.188
James Milner,LIV,36,"2,000,000",7.08,6.46,6.99,5.83,6.58,6.588
Naby Keita,LIV,27,"20,000,000",0,0,0,0,0,0
Jordan Henderson,LIV,32,"15,000,000",6.43,7.45,6.11,6.27,5.96,6.444
Alex Oxlade Chamberlain,LIV,29,"10,000,000",0,0,5.99,5.98,6.09,6.02
Curtis Jones,LIV,21,"22,000,000",0,6.28,6.53,6.19,6.02,6.255
Harvey Elliott,LIV,19,"35,000,000",6.03,7.06,5.81,6.54,7.18,6.524
Fabio Carvalho,LIV,20,"20,000,000",6.13,6.19,6.81,5.93,6.21,6.254
Arthur,LIV,26,"18,000,000",0,0,0,0,0,0
Bobby Clark,LIV,17,0,0,0,0,0,0,0
Roberto Firmino,LIV,31,"28,000,000",6.66,6.1,6.9,6.37,7.6,6.726
Mohamed Salah,LIV,30,"80,000,000",6.51,6.08,7.5,7.93,6.56,6.916
Diogo Jota,LIV,25,"55,000,000",0,6.12,5.96,7.17,7.32,6.6425
Luis Díaz,LIV,25,"75,000,000",6.42,6.72,6.52,6.89,6.44,6.598
Darwin Núñez,LIV,23,"70,000,000",7.08,7.77,6.65,8.23,8.5,7.646
Kepa Arrizabalaga,CHE,28,"15,000,000",7.27,8.83,7.74,7.13,5.59,7.312
Marcus Bettinelli,CHE,30,"2,000,000",0,0,0,0,0,0
Édouard Mendy,CHE,30,"25,000,000",0,0,0,0,0,0
Thiago Silva,CHE,38,"2,500,000",6.62,6.54,7.11,6.49,6.96,6.744
Trevoh Chalobah,CHE,23,"22,000,000",6.76,6.68,5.24,6.58,6.71,6.394
Ben Chilwell,CHE,25,"38,000,000",7.64,6.96,6.25,6.59,5.9,6.668
Reece James,CHE,22,"70,000,000",6.86,8.07,6.62,7.06,6.26,6.974
Kalidou Koulibaly,CHE,31,"35,000,000",6.51,7.87,6.53,7,5.92,6.766
César Azpilicueta,CHE,33,"35,000,000",6.55,7.23,6.23,7.09,6.57,6.734
Marc Cucurella,CHE,24,"55,000,000",7.42,6.42,5.58,6.43,6.35,6.44
Wesley Fofana,CHE,21,"65,000,000",0,7.1,6.53,6.74,6.63,6.75
Jorginho,CHE,30,"35,000,000",6.34,6.78,7.08,6.46,6.36,6.604
N'Golo Kanté,CHE,31,"30,000,000",0,0,0,7.8,6.6,7.2
Mateo Kovacic,CHE,28,"40,000,000",6.89,6.29,5.93,5.96,6.43,6.3
Christian Pulisic,CHE,24,"38,000,000",6.44,6.04,6.39,6.13,6.03,6.206
